REF_AREA,REF_AREA_LABEL,TIME_PERIOD,Domestic credit to private sector (% of GDP),Domestic credit to private sector by banks (% of GDP),Monetary Sector credit to private sector (% GDP),Market capitalization of listed domestic companies (% of GDP),"Stocks traded, total value (% of GDP)","Stocks traded, turnover ratio of domestic shares (%)","Foreign direct investment, net inflows (BoP, current US$)","Foreign direct investment, net outflows (% of GDP)","Portfolio equity, net inflows (BoP, current US$)"
AUS,Australia,1976,27.85201804,27.70432404,27.85201804,28.87001638,1.275469453,5.149059562,1047313647.0,0.254744795,-114498492.9
AUS,Australia,1977,27.38303379,26.88107439,27.38303379,28.87001638,1.34390757,5.149059562,1141019599.0,0.241166633,-64505769.07
AUS,Australia,1978,28.04774506,27.81492128,28.04774506,28.87001638,0.745200293,5.149059562,1676855615.0,0.198992899,41143386.05
AUS,Australia,1979,28.65171662,28.48178121,28.65171662,28.87001638,1.486534339,5.149059562,1489983133.0,0.254380024,359875696.2
AUS,Australia,1980,27.84142573,27.64627225,27.84142573,39.78284828,3.299251924,8.293151614,1866223965.0,0.306702174,1780213127.0
AUS,Australia,1981,27.92501871,27.69142415,27.92501871,30.74153805,4.402761545,14.32186489,2346546543.0,0.414460644,519753155.6
AUS,Australia,1982,27.04657762,26.87899828,27.04657762,21.40081059,2.536379425,11.85179138,2286321730.0,0.357039656,781630078.4
AUS,Australia,1983,28.78761641,28.59597069,28.78761641,30.48313671,5.266001714,17.27513072,2990964045.0,0.292224707,887969979.6
AUS,Australia,1984,30.31457372,30.24381569,30.31457372,25.80602963,5.223487149,20.24134369,428250491.4,0.725108347,-224508612.8
AUS,Australia,1985,37.02456528,36.93946793,37.02456528,32.88366581,8.449564075,25.69532279,2098624894.0,1.044258225,963869484.7
AUS,Australia,1986,40.29187287,40.26933265,40.29187287,65.37861164,12.41865226,18.99497703,5369760089.0,1.87341173,1013938361.0
AUS,Australia,1987,42.77587453,42.77552531,42.77587453,81.45731771,30.34429839,37.25177705,5190522203.0,2.691209892,3203787301.0
AUS,Australia,1988,46.7147505,46.7147505,46.7147505,58.28565997,17.34636859,29.76095424,8476377245.0,2.898867994,1107289084.0
